127.0.0.1 - - [29/Jun/2025:03:01:21 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:23:39 +0530] "GET /Hospital_Management_System/doctor/view_medical_records.jsp?userId=23 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:28:43 +0530] "GET /Hospital_Management_System/medical_records.jsp?userId=23 HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:29:15 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 8336
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:29:17 +0530] "GET /Hospital_Management_System/medical_records.jsp HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:35:55 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 8343
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:35:58 +0530] "GET /Hospital_Management_System/medical_records.jsp HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:36:01 +0530] "GET /Hospital_Management_System/uploads/apaar%20id.pdf HTTP/1.1" 200 126744
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:36:04 +0530] "GET /Hospital_Management_System/uploads/apaar%20id.pdf HTTP/1.1" 200 126744
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:37:51 +0530] "GET /Hospital_Management_System/medical_records.jsp HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:37:53 +0530] "GET /Hospital_Management_System/medical_records.jsp HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:37:53 +0530] "GET /Hospital_Management_System/medical_records.jsp HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:37:53 +0530] "GET /Hospital_Management_System/medical_records.jsp HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:37:54 +0530] "GET /Hospital_Management_System/medical_records.jsp HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:38:33 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 7931
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:38:37 +0530] "GET /Hospital_Management_System/user_login.jsp HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:38:46 +0530] "POST /Hospital_Management_System/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:38:46 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 8343
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:38:49 +0530] "GET /Hospital_Management_System/medical_records.jsp HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:38:59 +0530] "GET /Hospital_Management_System/userLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:38:59 +0530] "GET /Hospital_Management_System/user_login.jsp HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:39:14 +0530] "GET /Hospital_Management_System/doctor_login.jsp HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:39:26 +0530] "POST /Hospital_Management_System/doctorLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:39:26 +0530] "GET /Hospital_Management_System/doctor/index.jsp HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:39:30 +0530] "GET /Hospital_Management_System/doctor/upload_medical_record.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:39:30 +0530] "GET /Hospital_Management_System/doctor/login.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:39:38 +0530] "GET /Hospital_Management_System/doctor/index.jsp HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:39:40 +0530] "GET /Hospital_Management_System/doctor/upload_medical_record.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:39:40 +0530] "GET /Hospital_Management_System/doctor/login.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:41:06 +0530] "GET /Hospital_Management_System/doctor/index.jsp HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:41:08 +0530] "GET /Hospital_Management_System/doctor/upload_medical_record.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:41:08 +0530] "GET /Hospital_Management_System/doctor_login.jsp HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:48:25 +0530] "GET /Hospital_Management_System/medical_records.jsp?userId=23 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:48:25 +0530] "GET /Hospital_Management_System/login.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:48:36 +0530] "GET /Hospital_Management_System/doctor_login.jsp HTTP/1.1" 200 3145
